label,youtube_id,time_start,time_end,split
pushing wheelbarrow,PHi7LacIflo,0,10,train
snowkiting,PHiI0_A_hDA,54,64,train
walking through snow,PHiTN3mpJp0,8,18,train
using a paint roller,PHkSjgkx41o,21,31,train
throwing axe,PHkUBAwSx44,6,16,train
kitesurfing,PHlPaRut93o,0,10,train
playing bagpipes,PHlZMbfvg-c,102,112,train
using megaphone,PHly_RTaXD4,80,90,train
sneezing,PHmWxb9czv0,4,14,train
pinching,PHmaD_AAWRM,9,19,train
pouring milk,PHmgpZMBaUE,8,18,train
cooking egg,PHnJIThJilI,52,62,train
poaching eggs,PHnJIThJilI,53,63,train
lunge,PHo2mmlsizo,5,15,train
blowing bubble gum,PHoE7jmtmcI,384,394,train
playing squash or racquetball,PHobGdTvW0M,93,103,train
tasting beer,PHoqhH2p_-Q,76,86,train
changing wheel (not on bike),PHp0CRHPv6Y,12,22,train
grooming horse,PHp3rK_bvQI,42,52,train
making snowman,PHpAEaYl45s,74,84,train
swing dancing,PHpJY_mY0E4,89,99,train
counting money,PHpdQaQXTQk,27,37,train
arresting,PHqCIP3eFvA,11,21,train
dumpster diving,PHsXdAGbiM4,1,11,train
dealing cards,PHt41dq5844,5,15,train
swing dancing,PHuLQoDajdI,42,52,train
raising eyebrows,PHuMk_UKwAw,5,15,train
archaeological excavation,PHuebA7Rt0s,70,80,train
eating doughnuts,PHujZrRWz_U,12,22,train
playing squash or racquetball,PHvnKHJQHjQ,10,20,train
card stacking,PHvwFGmqwns,0,10,train
mushroom foraging,PHwT8dU-7kY,3,13,train
exercising with an exercise ball,PHwZd5hQTIM,159,169,train
sign language interpreting,PHwkFydp1ps,78,88,train
picking blueberries,PHxqD9-LIOY,183,193,train
tossing salad,PHxwddOZI8w,122,132,train
brushing hair,PHzSg-Wgfss,28,38,train
moving baby,PHzWfG2uaV4,22,32,train
tapping guitar,PHzvWi_cZF4,0,10,train
extinguishing fire,PI-LWv0vH2k,4,14,train
playing didgeridoo,PI-LgAhyT6Y,42,52,train
docking boat,PI0A1R4g728,19,29,train
walking on stilts,PI0MqP1W4n4,5,15,train
hugging baby,PI0d5j-BXts,22,32,train
punching person (boxing),PI0mFEKL9WY,175,185,train
eating ice cream,PI0yL4SFrYo,1,11,train
front raises,PI19yDxWA6k,84,94,train
planing wood,PI1HNV0Mzwc,0,10,train
snowboarding,PI1W5Qi9APM,95,105,train
shot put,PI2O8sEo7ic,67,77,train
arranging flowers,PI2PAyk_nlk,21,31,train
getting a tattoo,PI2WYl7ypyA,90,100,train
bouncing on bouncy castle,PI3-WNGx2lE,37,47,train
massaging back,PI47yv--0vU,30,40,train
unboxing,PI4Q7WaQVrc,55,65,train
making a sandwich,PI56KoErefk,55,65,train
playing organ,PI5v70jeESM,142,152,train
braiding hair,PI6I6pdt1O4,510,520,train
bee keeping,PI7Y-nWK88Y,143,153,train
eating chips,PI7c4VIDZhY,48,58,train
making pizza,PI7e8MrrRVs,226,236,train
windsurfing,PI7vLTow5J8,85,95,train
waxing eyebrows,PI9R9xzBjCY,2,12,train
carving pumpkin,PI9gDs_gF0k,197,207,train
making snowman,PIArRhjIS-s,17,27,train
being excited,PIB3wlIte_k,151,161,train
doing sudoku,PIC4uD9vXR8,937,947,train
riding or walking with horse,PIC8BkczdHg,276,286,train
roasting pig,PICj58B-un8,0,10,train
grooming dog,PICjHqYM7_Y,94,104,train
putting on eyeliner,PICnmQL1eDA,143,153,train
gargling,PIDJWWeiHXg,41,51,train
playing xylophone,PIDsGic8YjY,46,56,train
licking,PIDuvacuxtM,12,22,train
pushing wheelbarrow,PIEP_3fXJxI,90,100,train
extinguishing fire,PIFjWR0xiz8,22,32,train
drop kicking,PIIMouAQKBE,3,13,train
polishing metal,PIIPIZdbARo,128,138,train
assembling bicycle,PIJ7bUt5m8o,128,138,train
dancing ballet,PIJGP4rRXUY,156,166,train
making latte art,PILRoQQXf9g,11,21,train
lock picking,PILb3rcGYV4,63,73,train
catching or throwing baseball,PIMARLKbdcY,292,302,train
laying concrete,PIMBB6XNdOI,18,28,train
petting cat,PIMX9krPhzk,424,434,train
smoking hookah,PIMZMAkRY6w,395,405,train
egg hunting,PIMfdbMFN9s,3,13,train
beatboxing,PIMhoe5TvKM,142,152,train
building lego,PIMv0U5ebGc,622,632,train
trapezing,PIMyFCbANig,108,118,train
hopscotch,PINMDi-Cu-Y,4,14,train
paragliding,PINOelQWk7k,185,195,train
making a sandwich,PINOtk0kXM8,50,60,train
petting cat,PINXalr012g,16,26,train
golf chipping,PINh4PmBRwM,180,190,train
breakdancing,PIO8dBaivDE,20,30,train
springboard diving,PIQzEDpXU40,113,123,train
high jump,PIQzPTJEJVE,9,19,train
opening refrigerator,PIR7UOuESsI,17,27,train
fidgeting,PIRIrRsT_qM,229,239,train
fly tying,PIRqTgPVsA8,274,284,train
throwing snowballs,PIRxaMc5ihw,20,30,train
climbing ladder,PIRzIfw9QT0,25,35,train
wading through water,PITCuF7CZLo,4,14,train
entering church,PITDC7_s-og,23,33,train
playing poker,PITekMZhalY,30,40,train
ironing hair,PITnViarz3o,163,173,train
bee keeping,PIU4JCfi9nA,108,118,train
cumbia,PIU7Ag0jbZE,3,13,train
playing accordion,PIUauvuyS1A,23,33,train
sanding wood,PIUirT-URTE,65,75,train
ripping paper,PIUtYbIbXK8,14,24,train
flipping pancake,PIW-LdXxz30,5,15,train
dunking basketball,PIW96oB1P88,179,189,train
standing on hands,PIWUdfCEZGw,19,29,train
doing laundry,PIX-MDYA5Uw,2,12,train
hoverboarding,PIXGYIHCq_s,212,222,train
cooking scallops,PIXdWXqSp5w,757,767,train
swimming backstroke,PIXjL2iJUD8,50,60,train
playing guitar,PIY23JOWs_k,156,166,train
pulling rope (game),PIYIfsOF0ok,15,25,train
wrestling,PIYR9nhjBYI,11,21,train
eating chips,PIZ8GWdEZzI,165,175,train
kicking field goal,PIZzU1MtT48,9,19,train
hugging (not baby),PI_UKslaUwg,16,26,train
sled dog racing,PI_W6KTtLvY,78,88,train
fidgeting,PIaiF2x8N6o,11,21,train
shaving legs,PIc0CrzriT4,123,133,train
karaoke,PIcE05yObv4,3,13,train
climbing a rope,PIcora8hB9s,17,27,train
dyeing eyebrows,PIdHhgVE5Lk,205,215,train
knitting,PIfEm97dnAo,469,479,train
exercising with an exercise ball,PIfriTNmx_8,11,21,train
tickling,PIfy1C0JjuI,30,40,train
