label,youtube_id,time_start,time_end,split
cutting watermelon,CrC6nSXlY9g,71,81,train
feeding goats,CrCcxGFQaG8,23,33,train
falling off bike,CrD709fcXFs,2,12,train
sipping cup,CrDQ0ayz_BI,40,50,train
washing feet,CrDmZm_324g,281,291,train
grooming cat,CrDw1Yzcghk,27,37,train
water skiing,CrE8-g1WQx0,16,26,train
playing guitar,CrE82KNvr8A,0,10,train
texting,CrEPN4O_jjQ,83,93,train
applauding,CrEmZKRCnUU,3,13,train
cooking sausages (not on barbeque),CrErVKiKmVs,33,43,train
diving cliff,CrFBHblbNz8,3,13,train
riding camel,CrG76Lsd8U8,2,12,train
passing American football (not in game),CrGBwhvLkzM,0,10,train
tying knot (not on a tie),CrGM-4WecZ8,22,32,train
taking photo,CrGemyM75J0,11,21,train
contact juggling,CrI6zl5Rha4,4,14,train
metal detecting,CrIhNNnbpqk,0,10,train
contorting,CrIx5qd1kLM,132,142,train
playing cymbals,CrJ0fR26UmE,10,20,train
clapping,CrJ6Bu7JgmI,7,17,train
silent disco,CrJNzteh3dc,15,25,train
water skiing,CrJOwaOipZw,32,42,train
treating wood,CrLscILgJJI,147,157,train
chiseling stone,CrNeScfE06k,26,36,train
sword swallowing,CrO194_UlLs,4,14,train
marching,CrQ4eZjwHeE,22,32,train
climbing ladder,CrQ_9dcc-II,4,14,train
throwing ball (not baseball or American football),CrR3DKVXNrs,16,26,train
playing paintball,CrR4LXsRYtI,1,11,train
making bubbles,CrRES649mvY,34,44,train
crawling baby,CrRfnaYL3rk,4,14,train
rock climbing,CrRhY5fHojA,161,171,train
cutting apple,CrRuMtRORfE,21,31,train
vacuuming floor,CrSDEvfxxQc,74,84,train
playing piano,CrSJ2eYHGkA,11,21,train
driving car,CrSMYPE7hwE,63,73,train
roasting pig,CrTg_FrBxhc,13,23,train
weaving basket,CrU23kmcJ3Y,148,158,train
shuffling feet,CrVRmFa4ir4,122,132,train
doing laundry,CrVkPR4Bads,52,62,train
pumping fist,CrX8Si1HO98,4,14,train
riding camel,CrXRUmAasfU,13,23,train
playing volleyball,CrYIyXb0q0c,489,499,train
jumping jacks,CrZ3-IiJZXE,0,10,train
assembling bicycle,Cra03Ktmass,64,74,train
playing billiards,Crarfn39Tps,1,11,train
counting money,Crb0I15bF1Y,54,64,train
coughing,CrbMadFExK0,16,26,train
visiting the zoo,CrbWKimL1ak,51,61,train
playing harp,CrbpCV6zCoI,10,20,train
metal detecting,CrbuVC290Ys,111,121,train
juggling balls,CrcJY99Ps6M,34,44,train
taking photo,CrdFuo8PaOk,61,71,train
bending metal,CrdjneCWcNM,8,18,train
tasting food,Cre6d-rc_Zk,90,100,train
surveying,CrfACrAzT2o,6,16,train
jumping sofa,CrfdVk1gXAQ,22,32,train
saluting,CrgVFA0GtSA,13,23,train
driving tractor,CriKvLeLdkQ,17,27,train
blasting sand,CriL4FgxQk0,112,122,train
bottling,CrignWVIcpw,247,257,train
catching or throwing softball,CritKAFYXd0,4,14,train
shaking hands,CrjkoaO4028,16,26,train
sharpening knives,Crjtr8kdUFE,302,312,train
snowboarding,Crk0n9XYzCw,175,185,train
riding mechanical bull,CrlVKZ2YVYQ,10,20,train
javelin throw,CrlqaXUvHT0,1,11,train
metal detecting,CrmGslhcNGA,696,706,train
feeding fish,Crmjm0NEJMU,14,24,train
rolling pastry,CronkN6-hqY,29,39,train
situp,CrpAEqdnXuw,92,102,train
herding cattle,CrpEANFH4X8,9,19,train
shot put,CrpGt8Q1Xps,10,20,train
milking cow,CrpnLbr-aH4,0,10,train
feeding goats,CrqNloblFGE,26,36,train
frying vegetables,CrsHHAbPFGI,0,10,train
jetskiing,Crso-voT1SE,122,132,train
moving baby,CrtvoJIbAVY,6,16,train
ski ballet,CrukpXVhU5o,9,19,train
mosh pit dancing,Crv1YAnGIt8,0,10,train
hammer throw,Crv8Vif41F8,98,108,train
petting cat,CrvJHy4hrtQ,44,54,train
skydiving,CrvXAy-__YM,348,358,train
weaving basket,CrxBDvqZRm8,306,316,train
making cheese,CrxbtFZ7fJw,0,10,train
rolling eyes,Cry2PMOq7Pc,9,19,train
long jump,Cry9XeOFR6o,16,26,train
drooling,Cryo7gWodKI,20,30,train
sleeping,Cryo7gWodKI,34,44,train
snorkeling,Crz0mq4Sve0,4,14,train
snorkeling,CrzbbpQoGxw,107,117,train
front raises,Cs-N832f0gI,3,13,train
front raises,Cs-RdRDR6ag,10,20,train
playing ping pong,Cs0U650ASD8,3,13,train
riding scooter,Cs0uKMeHKLU,4,14,train
changing gear in car,Cs12nq986wU,7,17,train
eating carrots,Cs2EpeeTLoo,10,20,train
steer roping,Cs3g_qf3vzk,0,10,train
arranging flowers,Cs3u-bGzWvQ,38,48,train
laying decking,Cs5j8WbBltY,87,97,train
bowling,Cs5wMYMVIZU,22,32,train
feeding goats,Cs6ymnALuzs,50,60,train
folding napkins,Cs7XTDcO7rI,44,54,train
playing trombone,Cs7czh2UcHo,47,57,train
auctioning,Cs7wrek8o-Q,845,855,train
snorkeling,Cs8ZnbJFbpQ,23,33,train
pirouetting,Cs8rxR59YRs,42,52,train
blowing bubble gum,Cs8v4Mpo6QM,5,15,train
riding unicycle,Cs9LMNkk9Co,9,19,train
cutting cake,CsB0XNypg8c,23,33,train
tickling,CsBtGW2N_lE,466,476,train
shooting off fireworks,CsCzjATKDqk,23,33,train
playing flute,CsJ2y9zuK9A,48,58,train
dancing charleston,CsJJoi7gEn8,254,264,train
flint knapping,CsJLxHFaJ2Q,0,10,train
cutting nails,CsL_TvTDTbQ,25,35,train
tap dancing,CsM5hBJG3g4,63,73,train
sanding floor,CsMQmSE7uVY,7,17,train
playing guitar,CsMV48eB8pI,73,83,train
chiseling stone,CsMnxG1LnyA,10,20,train
opening coconuts,CsNTGayCnjU,20,30,train
feeding birds,CsPsn5z7u4Y,6,16,train
playing bass guitar,CsPtLbwgppE,222,232,train
sucking lolly,CsPzk5QC60M,7,17,train
building sandcastle,CsQ0XpKbVR0,20,30,train
playing ukulele,CsR7lyFWvtk,77,87,train
weaving fabric,CsRCSRplF2E,2,12,train
carrying weight,CsRNjUv4NPc,16,26,train
mushroom foraging,CsRwugZ_OSY,319,329,train
curling eyelashes,CsSTyXWsEk4,247,257,train
shaking hands,CsStHhyH1EU,24,34,train
biking through snow,CsTM6JuOLWE,68,78,train
cleaning pool,CsTixWXm7D4,18,28,train
shaping bread dough,CsUf-tmQ7A8,390,400,train
watering plants,CsVcGqwUZLo,21,31,train
laughing,CsWRDI6hKHM,8,18,train
popping balloons,CsWZkz8LlDY,0,10,train
flipping bottle,CsXCzrH66Rk,71,81,train
tickling,CsXJWYYsV7E,42,52,train
making horseshoes,CsXe8Kf-0yM,326,336,train
kicking soccer ball,CsXunyL56ug,2,12,train
pumping fist,CsY0vuhhVYU,3,13,train
chasing,CsY8xdlzAN8,10,20,train
tasting wine,CsZ2Kqkz7k8,56,66,train
high fiving,CsZIkrfR8Bo,13,23,train
seasoning food,CsZVIpn0nsw,529,539,train
feeding fish,Cs_l7VPyemk,5,15,train
playing cricket,Cs_zYUlMO7c,1,11,train
dumpster diving,Csa2CJIZlzM,205,215,train
playing harp,CsaF_rTj6PY,37,47,train
moving furniture,CsadrDRaj3o,38,48,train
playing squash or racquetball,CsaeiOFuij0,5,15,train
blowing out candles,Csbtov6LBoU,22,32,train
eating nachos,CscAKeoFi6s,449,459,train
barbequing,CsccDA5UWic,18,28,train
square dancing,Csdvny_jU_k,39,49,train
making pizza,Csf85yVHi8Y,313,323,train
bouncing on trampoline,CsgFrQ70y2A,86,96,train
cooking sausages (not on barbeque),CsgWkjOT_Ls,128,138,train
